,0
0,http://www.fightmetric.com/fight-details/9be14b958737f074
1,http://www.fightmetric.com/fight-details/bcb38a9d29822d3d
2,http://www.fightmetric.com/fight-details/38231925d72d1309
3,http://www.fightmetric.com/fight-details/387bdcc2ca8709c1
4,http://www.fightmetric.com/fight-details/7067ccf701531a60
5,http://www.fightmetric.com/fight-details/62de80851ebcc85a
6,http://www.fightmetric.com/fight-details/148ded708e1db0a0
7,http://www.fightmetric.com/fight-details/d1d33be012417f75
8,http://www.fightmetric.com/fight-details/ffe629a5232a878b
9,http://www.fightmetric.com/fight-details/a85a0831580696ff
10,http://www.fightmetric.com/fight-details/f85bbc760000f001
11,http://www.fightmetric.com/fight-details/1e14e79a477f2357
12,http://www.fightmetric.com/fight-details/764e492b55c0ec40
13,http://www.fightmetric.com/fight-details/b3cafb4e6e1b2ad0
14,http://www.fightmetric.com/fight-details/0e16795e385e76a7
15,http://www.fightmetric.com/fight-details/f84070b049bc14e6
16,http://www.fightmetric.com/fight-details/c8ff8a72f3c5a825
17,http://www.fightmetric.com/fight-details/d595d2c36ddba8ee
18,http://www.fightmetric.com/fight-details/398ff6015a5ba3b5
19,http://www.fightmetric.com/fight-details/9f6a7aee1fce539a
20,http://www.fightmetric.com/fight-details/6b0430e9c97afec7
21,http://www.fightmetric.com/fight-details/0d872527bbb3cd40
22,http://www.fightmetric.com/fight-details/88945d70ee6c6467
23,http://www.fightmetric.com/fight-details/43f6b0c40113d0d8
24,http://www.fightmetric.com/fight-details/66c029f49d3c5da6
25,http://www.fightmetric.com/fight-details/a7e8416f0d57c8e0
26,http://www.fightmetric.com/fight-details/4d5c3ddc740b89ca
27,http://www.fightmetric.com/fight-details/cb1e57b5f8c92922
28,http://www.fightmetric.com/fight-details/412735f3e0b66ea6
29,http://www.fightmetric.com/fight-details/e508ba268cb295c0
30,http://www.fightmetric.com/fight-details/f9373ab59b7a853b
31,http://www.fightmetric.com/fight-details/2de50e21c8f32761
32,http://www.fightmetric.com/fight-details/512e65ebe4fea988
33,http://www.fightmetric.com/fight-details/484c48d3723e72cd
34,http://www.fightmetric.com/fight-details/194d3950076b2f83
35,http://www.fightmetric.com/fight-details/e0e4ce7595b5c26a
36,http://www.fightmetric.com/fight-details/a86b801279e0ef4a
37,http://www.fightmetric.com/fight-details/e67e15cc6578d1c3
38,http://www.fightmetric.com/fight-details/a2308473bcd77da8
39,http://www.fightmetric.com/fight-details/30d0cab706e43838
40,http://www.fightmetric.com/fight-details/c39da8538d9c0321
41,http://www.fightmetric.com/fight-details/e64310b89b54db3f
42,http://www.fightmetric.com/fight-details/8b5130c2f2723a90
43,http://www.fightmetric.com/fight-details/5769c08adc653958
44,http://www.fightmetric.com/fight-details/d825023bc9f343fc
45,http://www.fightmetric.com/fight-details/5584458cadd0a0ca
46,http://www.fightmetric.com/fight-details/81b0c08f7503e79a
47,http://www.fightmetric.com/fight-details/e4e1d12441b90866
48,http://www.fightmetric.com/fight-details/247f9e56965a1c07
49,http://www.fightmetric.com/fight-details/b8b9a8e504d51ba5
50,http://www.fightmetric.com/fight-details/1cd5d5e271b646a3
51,http://www.fightmetric.com/fight-details/f59b1215176636f6
52,http://www.fightmetric.com/fight-details/5701dbbbfa4f8313
53,http://www.fightmetric.com/fight-details/90bce37a788afeaa
54,http://www.fightmetric.com/fight-details/823d7037552a8907
55,http://www.fightmetric.com/fight-details/d84f88ac792e8c53
56,http://www.fightmetric.com/fight-details/1206dc7d5228f5bd
57,http://www.fightmetric.com/fight-details/7fe2b6a9fc4748fa
58,http://www.fightmetric.com/fight-details/af2ef75664656957
59,http://www.fightmetric.com/fight-details/0bf405dabb25251a
60,http://www.fightmetric.com/fight-details/cb640b7dcc9db7e8
61,http://www.fightmetric.com/fight-details/431f9bad886eb2ae
62,http://www.fightmetric.com/fight-details/757b2a060d9151df
63,http://www.fightmetric.com/fight-details/2b39788a4f9530d1
64,http://www.fightmetric.com/fight-details/5b9aaee3ed9e3db0
65,http://www.fightmetric.com/fight-details/5636300eff639caf
66,http://www.fightmetric.com/fight-details/0be6540982a5b0cd
67,http://www.fightmetric.com/fight-details/78e38f1ad43c3479
68,http://www.fightmetric.com/fight-details/450760216f5643ca
69,http://www.fightmetric.com/fight-details/815fd4ebdc288e83
70,http://www.fightmetric.com/fight-details/1cc9816d18aa29d0
71,http://www.fightmetric.com/fight-details/245009a9e1a0f60b
72,http://www.fightmetric.com/fight-details/e4a9c93ff23eb5bb
73,http://www.fightmetric.com/fight-details/0b3c3d363c82835f
74,http://www.fightmetric.com/fight-details/e9bc416752cadd29
75,http://www.fightmetric.com/fight-details/caef4f8801f39345
76,http://www.fightmetric.com/fight-details/1e797ccd275a98d0
77,http://www.fightmetric.com/fight-details/53d2a57daaae700b
78,http://www.fightmetric.com/fight-details/eb3093e235f048c8
79,http://www.fightmetric.com/fight-details/ab341b7bb01cdc89
80,http://www.fightmetric.com/fight-details/049659c5a58ebb61
81,http://www.fightmetric.com/fight-details/15705df8ba8dcbe1
82,http://www.fightmetric.com/fight-details/4eaec67c66814dab
83,http://www.fightmetric.com/fight-details/51dc9b89cc914cff
84,http://www.fightmetric.com/fight-details/96c5470d4dbc39fb
85,http://www.fightmetric.com/fight-details/c8cd7b374b6754e4
86,http://www.fightmetric.com/fight-details/1216446c6ad271e7
87,http://www.fightmetric.com/fight-details/7a710073c7e0eb19
88,http://www.fightmetric.com/fight-details/48a14912ae1331dd
89,http://www.fightmetric.com/fight-details/54248bb11f17c770
90,http://www.fightmetric.com/fight-details/1e11b42ab5611ade
91,http://www.fightmetric.com/fight-details/2eb4d3172c1f8ec1
92,http://www.fightmetric.com/fight-details/7883d46d372aaec2
93,http://www.fightmetric.com/fight-details/a4cacfd8d5bec345
94,http://www.fightmetric.com/fight-details/e92d4aa522ad4307
95,http://www.fightmetric.com/fight-details/87cca96b1ca170d5
96,http://www.fightmetric.com/fight-details/00d1e67bbc3d797e
97,http://www.fightmetric.com/fight-details/03c2cebad8d8c012
98,http://www.fightmetric.com/fight-details/d8f64b001cd590fa
99,http://www.fightmetric.com/fight-details/2fec2ba8ea346a3a
100,http://www.fightmetric.com/fight-details/3b44d0179f94726c
101,http://www.fightmetric.com/fight-details/b3f4583109b429af
102,http://www.fightmetric.com/fight-details/b30407b833e96f96
103,http://www.fightmetric.com/fight-details/b48fdc15154b542e
104,http://www.fightmetric.com/fight-details/9cb8fe20b05d886e
105,http://www.fightmetric.com/fight-details/f0cf2ca8e5c621a8
106,http://www.fightmetric.com/fight-details/8e4439cdc98d0644
107,http://www.fightmetric.com/fight-details/74e92a66b29674a9
108,http://www.fightmetric.com/fight-details/72481ce1897251cd
109,http://www.fightmetric.com/fight-details/3dcb1a7b081afbe1
110,http://www.fightmetric.com/fight-details/603354ffe9cc0755
111,http://www.fightmetric.com/fight-details/d83ae4a2e117b775
112,http://www.fightmetric.com/fight-details/f3c33d0b7a087eaf
113,http://www.fightmetric.com/fight-details/e80a8338d86e730b
114,http://www.fightmetric.com/fight-details/6e652cbaaa406598
