Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie
Shamil Abdurakhimov,"['18', '4', '0']",75,235,76,Orthodox,"Sep02,1981",2.53,45,2.53,58,1.36,22,77,0.3,18,4,0
Daichi Abe,"['6', '1', '0']",71,170,71,Orthodox,"Nov27,1991",4.2,35,3.53,59,0.5,50,0,0.0,6,1,0
Papy Abedi,"['9', '3', '0']",71,185,74,Southpaw,"Jun30,1978",2.8,55,3.15,48,3.47,57,50,1.3,9,3,0
Ricardo Abreu,"['5', '3', '0']",71,185,73,Orthodox,"Apr27,1984",3.79,31,3.98,68,2.13,42,100,0.7,5,3,0
Israel Adesanya,"['12', '0', '0']",74,185,80,Switch,"Jul22,1989",6.03,69,2.55,52,0.0,0,80,0.0,12,0,0
Jessica Aguilar,"['19', '6', '0']",63,115,63,Orthodox,"May08,1982",4.23,43,7.13,60,2.0,50,0,0.0,19,6,0
Omari Akhmedov,"['17', '4', '1']",72,185,73,Orthodox,"Oct12,1987",3.01,33,2.91,57,2.89,51,53,0.3,17,4,1
Yoshihiro Akiyama,"['14', '6', '0 (2 NC)']",70,170,73,Orthodox,"Jul29,1975",3.1,41,3.62,57,2.29,67,92,1.0,14,6,0
Mostapha Al-Turk,"['6', '6', '0']",74,245,77,Orthodox,"Jul14,1973",1.36,19,3.61,53,0.0,0,0,0.0,6,6,0
Junior Albini,"['14', '3', '0']",75,264,74,Orthodox,"Mar15,1991",3.87,48,6.22,54,0.0,0,100,0.0,14,3,0
Alexandra Albu,"['7', '0', '0']",62,115,63,Orthodox,"Jul14,1990",5.26,51,5.01,41,3.18,55,81,0.6,7,0,0
Iuri Alcantara,"['35', '9', '0 (1 NC)']",69,135,71,Southpaw,"Aug04,1980",2.76,45,2.51,50,1.4,61,60,0.7,35,9,0
Ildemar Alcantara,"['21', '8', '0']",74,185,78,Orthodox,"Nov18,1982",1.93,38,2.63,50,2.0,68,81,0.9,21,8,0
Irene Aldana,"['8', '4', '0']",69,135,68,Orthodox,"Mar26,1988",5.82,40,7.11,57,0.67,66,95,0.0,8,4,0
Jose Aldo,"['26', '4', '0']",67,145,70,Orthodox,"Sep09,1986",3.46,44,2.91,67,0.74,68,92,0.2,26,4,0
JJ Aldrich,"['6', '2', '0']",65,115,67,Southpaw,"Sep29,1992",4.07,38,4.13,63,0.33,20,42,0.0,6,2,0
Jim Alers,"['13', '3', '0 (1 NC)']",69,145,71,Orthodox,"Oct14,1986",2.9,40,4.38,56,2.26,41,80,0.3,13,3,0
John Alessio,"['34', '16', '0 (1 NC)']",70,155,72,Orthodox,"Jul05,1979",1.87,35,2.46,57,1.78,36,72,1.0,34,16,0
Houston Alexander,"['13', '8', '1 (2 NC)']",72,205,72,Orthodox,"Mar22,1972",3.06,54,3.2,52,1.19,57,33,0.0,13,8,1
Marcio Alexandre Junior,"['13', '3', '0']",72,170,75,Southpaw,"May05,1989",1.66,44,2.97,41,0.37,20,72,0.4,13,3,0
