,Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average
0,Tom Aaron,5/3/2000,--,155lbs.,--,,"Jul13,1978",0,0%,0,0%,0,0%,0%,0
1,Danny Abbadi,4/6/2000,"5'11""",155lbs.,--,Orthodox,"Jul03,1983",3.29,38%,4.41,57%,0,0%,77%,0
2,David Abbott,10/14/2000,"6'0""",265lbs.,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0
3,Shamil Abdurakhimov,18-4-0,"6'3""",235lbs.,"76""",Orthodox,"Sep02,1981",2.53,45%,2.53,58%,1.36,22%,77%,0.3
4,Hiroyuki Abe,8-14-3 (1 NC),"5'6""",145lbs.,--,Orthodox,--,1.71,36%,3.11,63%,0,0%,33%,0
5,Daichi Abe,6/1/2000,"5'11""",170lbs.,"71""",Orthodox,"Nov27,1991",4.2,35%,3.53,59%,0.5,50%,0%,0
6,Papy Abedi,9/3/2000,"5'11""",185lbs.,"74""",Southpaw,"Jun30,1978",2.8,55%,3.15,48%,3.47,57%,50%,1.3
7,Ricardo Abreu,5/3/2000,"5'11""",185lbs.,"73""",Orthodox,"Apr27,1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
8,Daniel Acacio,26-12-0,"5'8""",180lbs.,--,Orthodox,"Dec27,1977",3.52,36%,2.85,62%,0.33,20%,81%,0
9,Scott Adams,8/1/2000,"6'0""",225lbs.,--,Southpaw,--,0,0%,0,0%,0,0%,0%,0
10,Israel Adesanya,12-0-0,"6'2""",185lbs.,"80""",Switch,"Jul22,1989",6.03,69%,2.55,52%,0,0%,80%,0
11,Sam Adkins,7/20/2002,"6'3""",225lbs.,--,Orthodox,"Apr26,1965",0,0%,0,0%,0,0%,0%,0
12,Nick Agallar,24-6-0,"5'8""",155lbs.,--,Orthodox,"Jan13,1979",0.69,11%,4.56,42%,0,0%,0%,0
13,Marcelo Aguiar,2/3/2001,"5'10""",170lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
14,Edwin Aguilar,22-16-0 (1 NC),"5'10""",185lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
15,Jessica Aguilar,19-6-0,"5'3""",115lbs.,"63""",Orthodox,"May08,1982",4.23,43%,7.13,60%,2,50%,0%,0
16,Mike Aina,12-6-1 (1 NC),"5'9""",155lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0,0%,71%,0
17,Hitomi Akano,18-8-0,"5'4""",135lbs.,--,Southpaw,"Jul27,1974",0.59,45%,2.58,55%,0,0%,8%,0.5
18,Omari Akhmedov,17-4-1,"6'0""",185lbs.,"73""",Orthodox,"Oct12,1987",3.01,33%,2.91,57%,2.89,51%,53%,0.3
19,Yoshihiro Akiyama,14-6-0 (2 NC),"5'10""",170lbs.,"73""",Orthodox,"Jul29,1975",3.1,41%,3.62,57%,2.29,67%,92%,1
20,Razak Al-Hassan,11/5/2000,"6'2""",205lbs.,--,Orthodox,"May14,1982",3.27,39%,3.14,60%,0.65,14%,57%,0
21,Mostapha Al-Turk,6/6/2000,"6'2""",245lbs.,"77""",Orthodox,"Jul14,1973",1.36,19%,3.61,53%,0,0%,0%,0
22,Javi Alanis,0-3-0,"5'6""",135lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
23,Brett Albee,3/1/2000,--,225lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
24,John Albert,7/5/2000,"5'8""",135lbs.,"68""",,"Oct13,1986",3.05,49%,2.82,35%,0,0%,50%,6.1
25,Junior Albini,14-3-0,"6'3""",264lbs.,"74""",Orthodox,"Mar15,1991",3.87,48%,6.22,54%,0,0%,100%,0
26,Wes Albritton,0-1-0,"5'10""",188lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
27,Alexandra Albu,7-0-0,"5'2""",115lbs.,"63""",Orthodox,"Jul14,1990",5.26,51%,5.01,41%,3.18,55%,81%,0.6
28,Israel Albuquerque,0-3-0,--,185lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0,0%,0%,0
29,Juan Alcain,1/2/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
30,Iuri Alcantara,35-9-0 (1 NC),"5'9""",135lbs.,"71""",Southpaw,"Aug04,1980",2.76,45%,2.51,50%,1.4,61%,60%,0.7
31,Ildemar Alcantara,21-8-0,"6'2""",185lbs.,"78""",Orthodox,"Nov18,1982",1.93,38%,2.63,50%,2,68%,81%,0.9
32,Alfonso Alcarez,1/3/2001,"5'3""",145lbs.,--,,"Jun10,1970",0,0%,0,0%,0,0%,0%,0
33,Gilbert Aldana,6/2/2000,"6'1""",250lbs.,--,Orthodox,"Aug25,1977",2.91,54%,6.26,26%,2.57,40%,33%,0
34,Irene Aldana,8/4/2000,"5'9""",135lbs.,"68""",Orthodox,"Mar26,1988",5.82,40%,7.11,57%,0.67,66%,95%,0
35,Jose Aldo,26-4-0,"5'7""",145lbs.,"70""",Orthodox,"Sep09,1986",3.46,44%,2.91,67%,0.74,68%,92%,0.2
36,JJ Aldrich,6/2/2000,"5'5""",115lbs.,"67""",Southpaw,"Sep29,1992",4.07,38%,4.13,63%,0.33,20%,42%,0
37,Jim Alers,13-3-0 (1 NC),"5'9""",145lbs.,"71""",Orthodox,"Oct14,1986",2.9,40%,4.38,56%,2.26,41%,80%,0.3
38,John Alessio,34-16-0 (1 NC),"5'10""",155lbs.,"72""",Orthodox,"Jul05,1979",1.87,35%,2.46,57%,1.78,36%,72%,1
39,Houston Alexander,13-8-1 (2 NC),"6'0""",205lbs.,"72""",Orthodox,"Mar22,1972",3.06,54%,3.2,52%,1.19,57%,33%,0
40,Kenneth Alexander,5-5-0 (1 NC),"5'9""",155lbs.,--,Orthodox,"Sep25,1977",0.88,19%,2.2,66%,4.71,26%,0%,0
41,Marcio Alexandre Junior,13-3-0,"6'0""",170lbs.,"75""",Southpaw,"May05,1989",1.66,44%,2.97,41%,0.37,20%,72%,0.4
42,Olaf Alfonso,8/11/2000,"6'2""",170lbs.,--,Orthodox,"Aug06,1974",0.74,26%,5.33,37%,0,0%,22%,0.6
43,Pablo Alfonso,6/5/2000,"5'8""",145lbs.,--,,"May09,1983",0,0%,0,0%,0,0%,0%,0
44,Levi Alford,1/4/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
45,Royce Alger,3/2/2000,"5'10""",199lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
46,Sultan Aliev,14-2-0,"5'11""",170lbs.,"74""",Orthodox,"Sep17,1984",1.3,57%,2.03,58%,1.69,66%,100%,0
47,George Allen,13-19-2,"6'2""",205lbs.,--,OpenStance,"Jan13,1967",0.8,38%,3.1,43%,0,0%,50%,0
48,Arnold Allen,12/1/2000,"5'8""",145lbs.,"70""",Southpaw,"Jan22,1994",2.06,34%,1.85,55%,2.88,57%,75%,0.7
49,Benny Alloway,13-6-0,"5'11""",170lbs.,"75""",Orthodox,"Feb19,1981",1.28,49%,1.9,59%,0.62,50%,26%,0
50,Ricardo Almeida,13-5-0,"6'0""",170lbs.,"74""",Orthodox,"Nov29,1976",2.02,49%,1.2,61%,3.74,38%,31%,1.2
51,Magno Almeida,9-3-0 (1 NC),"6'0""",155lbs.,--,,"Jun06,1985",1.67,36%,2.6,41%,0,0%,40%,5
52,Thomas Almeida,22-3-0,"5'7""",135lbs.,"70""",Southpaw,"Jul31,1991",5.66,45%,4.65,64%,0,0%,75%,0
53,Ericka Almeida,7/2/2000,"5'6""",115lbs.,"68""",,"Mar05,1989",1.07,39%,3.33,43%,0.5,33%,37%,0
54,Mauricio Alonso,13-7-0 (1 NC),"6'2""",170lbs.,--,,"Feb27,1980",5.74,34%,1.91,67%,0,0%,0%,0
55,Rico Altamirano,3/2/2000,"5'10""",170lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
56,Mike Altman,1/4/2000,"5'10""",185lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0,0%,0%,0
57,Sean Alvarez,4/3/2000,"6'0""",235lbs.,--,Orthodox,"Jul14,1971",0.89,37%,3.25,47%,0,0%,0%,0
58,Eddie Alvarez,29-5-0 (1 NC),"5'9""",155lbs.,"69""",Orthodox,"Jan11,1984",4.44,41%,4.28,55%,3.14,38%,92%,0.4
59,Jaime Alvarez,6/1/2000,"5'8""",125lbs.,"69""",Orthodox,"Mar08,1988",2.73,40%,4.53,56%,1,33%,50%,0
60,Thiago Alves,27-12-0,"5'9""",170lbs.,"70""",Orthodox,"Oct03,1983",3.6,41%,3.14,63%,0.78,68%,63%,0.4
61,Anthony Alves,1/3/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
62,Amilcar Alves,11/4/2000,"6'0""",170lbs.,--,Southpaw,"Aug08,1988",0.5,46%,2.02,30%,0,0%,53%,0
63,Warlley Alves,12/2/2000,"5'11""",170lbs.,"72""",Orthodox,"Jan04,1991",2.8,46%,4.1,50%,1.3,43%,75%,1.1
64,Sam Alvey,32-10-0 (1 NC),"6'2""",185lbs.,"75""",Southpaw,"May06,1986",3.05,46%,3.19,54%,0.11,25%,84%,0.1
65,Andre Amado,6/4/2001,"6'0""",154lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0,0%,20%,0
66,Adlan Amagov,13-2-1,"6'2""",170lbs.,"76""",Orthodox,"Oct30,1986",3.29,47%,0.82,78%,5.84,56%,100%,0
67,Chris Amarante,2-0-0,--,185lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
68,Jimmy Ambriz,15-18-1,"6'2""",315lbs.,--,Southpaw,"Jan26,1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
69,JJ Ambrose,17-3-0 (1 NC),"5'10""",170lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0,0%,50%,0
70,Makwan Amirkhani,13-3-0,"5'10""",145lbs.,"72""",Southpaw,"Nov08,1988",1.73,53%,1.45,53%,4.24,45%,50%,2.4
71,Bertrand Amoussou,1/1/2000,"5'8""",190lbs.,--,Orthodox,--,6.75,39%,2.01,83%,0,0%,0%,0
72,Karl Amoussou,12/4/2002,"5'11""",185lbs.,--,Orthodox,"Nov21,1985",1.47,34%,2.67,54%,0,0%,25%,1
73,Eryk Anders,10/1/2000,"6'1""",185lbs.,"75""",Southpaw,"Apr21,1987",3.12,54%,2.47,45%,2.1,35%,66%,0
74,Matt Andersen,14-8-1,"6'2""",230lbs.,--,Southpaw,"May29,1971",0,0%,0,0%,0,0%,0%,0
75,Andy Anderson,0-1-0,"5'6""",240lbs.,--,,"Jul16,1974",0,0%,0,0%,0,0%,0%,0
76,Lowell Anderson,0-1-0,"5'6""",160lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
77,Corey Anderson,10/4/2000,"6'3""",205lbs.,"79""",Orthodox,"Sep22,1989",4.77,46%,2.34,58%,4.4,48%,33%,0
78,Derek Anderson,14-3-0 (1 NC),"6'0""",155lbs.,--,,"Feb02,1990",3.97,37%,3.08,61%,0.34,14%,60%,0
79,Megan Anderson,8/2/2000,"6'0""",145lbs.,--,,"Feb11,1990",0,0%,0,0%,0,0%,0%,0
80,Alex Andrade,10/5/2000,"5'11""",200lbs.,--,Orthodox,"May14,1974",0.2,36%,2.6,53%,0,0%,25%,0.8
81,Jessica Andrade,18-6-0,"5'1""",115lbs.,"62""",Orthodox,"Sep25,1991",6.42,51%,4.94,51%,3.24,58%,75%,0.5
82,Viscardi Andrade,19-7-0,"5'11""",170lbs.,"75""",Orthodox,"Mar08,1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
83,Jermaine Andre,14-4-0,"5'7""",200lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
84,Dylan Andrews,18-8-0 (1 NC),"6'1""",185lbs.,"73""",Switch,"Nov15,1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
85,Reese Andy,7/3/2000,"6'0""",205lbs.,--,Orthodox,"Mar31,1973",2.87,50%,3.5,58%,0.67,20%,40%,0
86,Yoji Anjo,0-5-1,"5'11""",205lbs.,--,Orthodox,"Mar28,1967",0,0%,3.13,25%,0,0%,0%,0
87,Magomed Ankalaev,9/1/2000,"6'3""",205lbs.,"75""",Orthodox,"Feb06,1992",3.94,61%,1.2,64%,0,0%,71%,0
88,Nina Ansaroff,8/5/2000,"5'5""",115lbs.,"64""",Orthodox,"Dec03,1985",5.22,48%,3.77,53%,0.51,40%,73%,1
89,Gadzhimurad Antigulov,20-4-0,"5'11""",205lbs.,"70""",Orthodox,"Feb09,1987",0.58,25%,0.87,66%,8.65,100%,0%,8.7
90,Adam Antolin,12/3/2000,"5'5""",125lbs.,"63""",Orthodox,"Feb28,1982",5.73,52%,5,69%,0,0%,100%,0
91,Angelo Antonio,1/3/2000,--,205lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0,0%,0%,0
92,Zu Anyanwu,14-5-0,"6'1""",251lbs.,"77""",Orthodox,"Aug05,1981",2.47,42%,2.47,69%,0.65,100%,0%,0
93,Shinsho Anzai,10/2/2000,"5'7""",170lbs.,"70""",Orthodox,"Dec01,1985",3.49,59%,3.69,46%,2,16%,100%,0
94,Shinya Aoki,30-5-0 (1 NC),"5'11""",154lbs.,--,Southpaw,"May09,1983",0.97,58%,1.25,58%,2.54,41%,60%,4
95,Erik Apple,10/3/2000,"6'0""",170lbs.,--,Orthodox,"Aug26,1977",0,0%,0.54,81%,0,0%,0%,8.1
96,Kenji Arai,15-15-5,"5'10""",145lbs.,--,Southpaw,"Oct05,1979",8.79,27%,10.29,39%,0,0%,0%,0
97,Romie Aram,7/1/2000,"5'10""",170lbs.,--,Orthodox,"Dec02,1977",1.8,35%,2.83,50%,2.5,62%,83%,0
98,Felipe Arantes,18-9-1 (2 NC),"5'8""",145lbs.,"73""",Orthodox,"Feb09,1988",2.48,45%,2.56,64%,1,52%,42%,0.8
99,Igor Araujo,25-8-0 (1 NC),"6'1""",170lbs.,"77""",Orthodox,"Dec06,1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
100,Julio Arce,14-2-0,"5'7""",145lbs.,"70""",Southpaw,"Oct27,1989",5.96,41%,2.43,69%,0,0%,92%,0
101,Art Arciniega,15-7-0,"5'8""",145lbs.,--,,"Oct15,1981",1.53,46%,2.73,51%,0,0%,50%,1
102,Tristan Arenal,4/1/2000,--,155lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
103,Andrei Arlovski,27-15-0 (1 NC),"6'3""",240lbs.,"77""",Orthodox,"Feb04,1979",3.23,42%,2.59,58%,0.56,37%,81%,0.4
104,Joey Armstrong,5/2/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
105,Austin Arnett,15-4-0,"6'0""",145lbs.,"72""",Orthodox,"Oct22,1991",5.76,37%,8.99,64%,0.63,100%,0%,0.6
106,Ricardo Arona,14-5-0,"5'11""",205lbs.,--,Orthodox,"Jul17,1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2
107,Chalid Arrab,7/3/2000,"5'11""",205lbs.,--,Orthodox,"May28,1975",1.56,34%,1.63,56%,3.05,75%,37%,1
108,Akbarh Arreola,23-10-1,"5'10""",155lbs.,"71""",Southpaw,"Jan14,1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
109,Matt Arroyo,3/3/2000,"5'10""",170lbs.,"72""",Orthodox,"Sep01,1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3
110,Gilles Arsene,1/1/2000,"5'9""",190lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0,0%,0%,0
111,Veta Arteaga,3/1/2000,"5'7""",125lbs.,--,,--,3.2,36%,1.92,65%,0,0%,40%,0
112,Cesar Arzamendia,7/4/2000,"5'11""",155lbs.,"71""",,"Jan31,1991",5.37,45%,5.2,56%,7.32,75%,0%,2.4
113,Cyril Asker,9/4/2000,"6'0""",247lbs.,"74""",Orthodox,"Dec24,1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9
114,Scott Askham,14-4-0,"6'3""",185lbs.,"75""",Southpaw,"May20,1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7
115,Junior Assuncao,13-4-0,"5'9""",145lbs.,"72""",Orthodox,"Jun24,1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7
116,Raphael Assuncao,26-5-0,"5'5""",135lbs.,"66""",Orthodox,"Jul19,1982",3.37,40%,2.29,69%,1.36,33%,79%,0.3
117,Bazigit Atajev,17-1-0,"6'1""",230lbs.,--,Orthodox,--,0.87,41%,3.14,49%,1,33%,0%,0
